infra_id,infra_kind,longueur,material_cost,labor_cost_continuous,total_cost,duration_hours_4workers,beneficiaries_proxy,is_hospital_path,phase
P008002,fourreau,12.5346743139761,11281.20688257849,2350.2514338705187,13631.458316449009,15.668342892470124,9,False,2
P008008,aerien,34.1154172411379,17057.70862056895,2558.6562930853424,19616.36491365429,17.05770862056895,8,False,2
P007534,fourreau,11.0908638527212,9981.77746744908,2079.536972385225,12061.314439834305,13.863579815901499,7,False,2
P007699,semi-aerien,11.7815303649109,8836.147773683175,1767.229554736635,10603.37732841981,11.7815303649109,7,False,2
P008034,fourreau,10.0099030897997,9008.91278081973,1876.8568293374437,10885.769610157175,12.512378862249625,7,False,2
P007593,semi-aerien,10.402928114011,7802.196085508251,1560.4392171016502,9362.6353026099,10.402928114011,6,False,2
P007696,aerien,14.6793721892947,7339.68609464735,1100.9529141971025,8440.639008844453,7.33968609464735,6,False,2
P007703,semi-aerien,10.1403162890544,7605.237216790801,1521.04744335816,9126.28466014896,10.1403162890544,6,False,2
P008006,aerien,17.9528543234573,8976.427161728649,1346.4640742592974,10322.891235987947,8.97642716172865,6,False,2
P008009,aerien,25.2059107325926,12602.955366296299,1890.443304944445,14493.398671240744,12.6029553662963,6,False,2
P008018,aerien,14.7483787687636,7374.1893843818,1106.12840765727,8480.31779203907,7.3741893843818,6,False,2
P005770,aerien,13.8935987811649,6946.7993905824505,1042.0199085873676,7988.819299169818,6.94679939058245,5,False,2
P007610,fourreau,8.8689078508038,7982.017065723421,1662.9202220257127,9644.937287749133,11.086134813504751,5,False,2
P002851,semi-aerien,10.8032015604234,8102.40117031755,1620.48023406351,9722.88140438106,10.8032015604234,4,False,2
P005781,aerien,14.510677085006,7255.338542503,1088.30078137545,8343.63932387845,7.255338542503,4,False,2
P007463,fourreau,9.79128091421177,8812.152822790593,1835.8651714147068,10648.0179942053,12.239101142764712,4,False,2
P007637,aerien,11.4459140938685,5722.957046934251,858.4435570401375,6581.400603974388,5.72295704693425,4,False,2
P007713,aerien,14.7479475229988,7373.9737614994,1106.09606422491,8480.06982572431,7.3739737614994,4,False,2
P007777,fourreau,8.95144561872574,8056.301056853166,1678.3960535110764,9734.697110364243,11.189307023407176,4,False,2
P008020,aerien,11.7528304195152,5876.415209757601,881.46228146364,6757.877491221241,5.8764152097576,4,False,2
P008026,semi-aerien,12.0182044137484,9013.6533103113,1802.73066206226,10816.38397237356,12.0182044137484,4,False,2
P004257,semi-aerien,6.11375464797472,4585.31598598104,917.0631971962081,5502.379183177249,6.11375464797472,3,False,2
P007564,aerien,7.13168893719009,3565.844468595045,534.8766702892567,4100.721138884302,3.565844468595045,3,False,2
P007597,fourreau,6.31480197224767,5683.321775022903,1184.025369796438,6867.347144819341,7.893502465309588,3,False,2
P007638,fourreau,5.10207355361142,4591.866198250278,956.6387913021412,5548.504989552419,6.377591942014274,3,False,2
